age,unit,sex,indic_em,geo,year,employment
Y15-24,PC_POP,M,ACT,CY,2020 ,40.2 
Y15-24,PC_POP,M,ACT,CZ,2020 ,32.9 
Y15-24,PC_POP,M,ACT,DE,2020 ,54.5 bp
Y15-24,PC_POP,M,ACT,DK,2020 ,60.1 
Y15-24,PC_POP,M,ACT,EA19,2020 ,41.4 
Y15-24,PC_POP,M,ACT,EE,2020 ,42.9 
Y15-24,PC_POP,M,ACT,EL,2020 ,23.1 
Y15-24,PC_POP,M,ACT,ES,2020 ,32.2 
Y15-24,PC_POP,M,ACT,EU15,2020 ,: 
Y15-24,PC_POP,M,ACT,EU27_2020,2020 ,40.8 
Y15-24,PC_POP,M,ACT,EU28,2020 ,: 
Y15-24,PC_POP,M,ACT,FI,2020 ,53.1 
Y15-24,PC_POP,M,ACT,FR,2020 ,38.2 
Y15-24,PC_POP,M,ACT,FX,2020 ,38.5 
Y15-24,PC_POP,M,ACT,HR,2020 ,39.2 
Y15-24,PC_POP,M,ACT,HU,2020 ,35.3 
Y15-24,PC_POP,M,ACT,IE,2020 ,44.2 
Y15-24,PC_POP,M,ACT,IS,2020 ,70.4 b
Y15-24,PC_POP,M,ACT,IT,2020 ,28.5 
Y15-24,PC_POP,M,ACT,LT,2020 ,38.9 
Y15-24,PC_POP,M,ACT,LU,2020 ,33.7 
Y15-24,PC_POP,M,ACT,LV,2020 ,37.9 
Y15-24,PC_POP,M,ACT,ME,2020 ,36.4 
Y15-24,PC_POP,M,ACT,MK,2020 ,38.0 
Y15-24,PC_POP,M,ACT,MT,2020 ,55.6 
Y15-24,PC_POP,M,ACT,NL,2020 ,67.7 
Y15-24,PC_POP,M,ACT,NO,2020 ,55.5 
Y15-24,PC_POP,M,ACT,PL,2020 ,36.1 
Y15-24,PC_POP,M,ACT,PT,2020 ,32.2 
Y15-24,PC_POP,M,ACT,RO,2020 ,35.5 
Y15-24,PC_POP,M,ACT,RS,2020 ,35.1 
Y15-24,PC_POP,M,ACT,SE,2020 ,52.2 
Y15-24,PC_POP,M,ACT,SI,2020 ,33.9 
Y15-24,PC_POP,M,ACT,SK,2020 ,34.9 
Y15-24,PC_POP,M,ACT,TR,2020 ,50.1 
Y15-24,PC_POP,M,ACT,UK,2020 ,: 
Y15-24,PC_POP,M,EMP_LFS,AT,2020 ,52.7 
Y15-24,PC_POP,M,EMP_LFS,BE,2020 ,25.6 
Y15-24,PC_POP,M,EMP_LFS,BG,2020 ,21.7 
Y15-24,PC_POP,M,EMP_LFS,CH,2020 ,59.4 
Y15-24,PC_POP,M,EMP_LFS,CY,2020 ,30.4 
Y15-24,PC_POP,M,EMP_LFS,CZ,2020 ,30.5 
Y15-24,PC_POP,M,EMP_LFS,DE,2020 ,50.2 bp
Y15-24,PC_POP,M,EMP_LFS,DK,2020 ,52.5 
Y15-24,PC_POP,M,EMP_LFS,EA19,2020 ,34.1 
Y15-24,PC_POP,M,EMP_LFS,EE,2020 ,35.0 
Y15-24,PC_POP,M,EMP_LFS,EL,2020 ,15.9 
Y15-24,PC_POP,M,EMP_LFS,ES,2020 ,20.3 
Y15-24,PC_POP,M,EMP_LFS,EU15,2020 ,: 
Y15-24,PC_POP,M,EMP_LFS,EU27_2020,2020 ,33.9 
Y15-24,PC_POP,M,EMP_LFS,EU28,2020 ,: 
Y15-24,PC_POP,M,EMP_LFS,FI,2020 ,40.7 
Y15-24,PC_POP,M,EMP_LFS,FR,2020 ,30.4 
Y15-24,PC_POP,M,EMP_LFS,FX,2020 ,30.8 
Y15-24,PC_POP,M,EMP_LFS,HR,2020 ,31.9 
Y15-24,PC_POP,M,EMP_LFS,HU,2020 ,31.1 
Y15-24,PC_POP,M,EMP_LFS,IE,2020 ,37.5 
Y15-24,PC_POP,M,EMP_LFS,IS,2020 ,62.6 b
Y15-24,PC_POP,M,EMP_LFS,IT,2020 ,20.5 
Y15-24,PC_POP,M,EMP_LFS,LT,2020 ,30.5 
Y15-24,PC_POP,M,EMP_LFS,LU,2020 ,25.3 
Y15-24,PC_POP,M,EMP_LFS,LV,2020 ,32.5 
Y15-24,PC_POP,M,EMP_LFS,ME,2020 ,24.2 
Y15-24,PC_POP,M,EMP_LFS,MK,2020 ,25.1 
Y15-24,PC_POP,M,EMP_LFS,MT,2020 ,48.2 
Y15-24,PC_POP,M,EMP_LFS,NL,2020 ,61.4 
Y15-24,PC_POP,M,EMP_LFS,NO,2020 ,48.8 
Y15-24,PC_POP,M,EMP_LFS,PL,2020 ,32.3 
Y15-24,PC_POP,M,EMP_LFS,PT,2020 ,25.5 
Y15-24,PC_POP,M,EMP_LFS,RO,2020 ,29.2 
Y15-24,PC_POP,M,EMP_LFS,RS,2020 ,26.3 
Y15-24,PC_POP,M,EMP_LFS,SE,2020 ,39.2 
Y15-24,PC_POP,M,EMP_LFS,SI,2020 ,29.6 
Y15-24,PC_POP,M,EMP_LFS,SK,2020 ,28.5 
Y15-24,PC_POP,M,EMP_LFS,TR,2020 ,38.8 
Y15-24,PC_POP,M,EMP_LFS,UK,2020 ,: 
Y15-24,PC_POP,T,ACT,AT,2020 ,56.1 
Y15-24,PC_POP,T,ACT,BE,2020 ,28.4 
Y15-24,PC_POP,T,ACT,BG,2020 ,21.9 
Y15-24,PC_POP,T,ACT,CH,2020 ,65.0 
Y15-24,PC_POP,T,ACT,CY,2020 ,38.3 
Y15-24,PC_POP,T,ACT,CZ,2020 ,27.3 
Y15-24,PC_POP,T,ACT,DE,2020 ,52.1 bp
Y15-24,PC_POP,T,ACT,DK,2020 ,60.2 
Y15-24,PC_POP,T,ACT,EA19,2020 ,38.8 
Y15-24,PC_POP,T,ACT,EE,2020 ,42.0 
Y15-24,PC_POP,T,ACT,EL,2020 ,21.2 
Y15-24,PC_POP,T,ACT,ES,2020 ,29.9 
Y15-24,PC_POP,T,ACT,EU15,2020 ,: 
Y15-24,PC_POP,T,ACT,EU27_2020,2020 ,37.9 
Y15-24,PC_POP,T,ACT,EU28,2020 ,: 
Y15-24,PC_POP,T,ACT,FI,2020 ,52.2 
Y15-24,PC_POP,T,ACT,FR,2020 ,35.6 
Y15-24,PC_POP,T,ACT,FX,2020 ,36.0 
Y15-24,PC_POP,T,ACT,HR,2020 ,32.5 
Y15-24,PC_POP,T,ACT,HU,2020 ,31.2 
Y15-24,PC_POP,T,ACT,IE,2020 ,43.7 
Y15-24,PC_POP,T,ACT,IS,2020 ,72.9 b
Y15-24,PC_POP,T,ACT,IT,2020 ,23.8 
Y15-24,PC_POP,T,ACT,LT,2020 ,36.6 
Y15-24,PC_POP,T,ACT,LU,2020 ,32.4 
Y15-24,PC_POP,T,ACT,LV,2020 ,34.8 
Y15-24,PC_POP,T,ACT,ME,2020 ,30.9 
Y15-24,PC_POP,T,ACT,MK,2020 ,30.9 
Y15-24,PC_POP,T,ACT,MT,2020 ,53.9 
Y15-24,PC_POP,T,ACT,NL,2020 ,68.7 
Y15-24,PC_POP,T,ACT,NO,2020 ,55.6 
Y15-24,PC_POP,T,ACT,PL,2020 ,31.8 
Y15-24,PC_POP,T,ACT,PT,2020 ,30.2 
Y15-24,PC_POP,T,ACT,RO,2020 ,29.7 
Y15-24,PC_POP,T,ACT,RS,2020 ,28.3 
Y15-24,PC_POP,T,ACT,SE,2020 ,52.1 
Y15-24,PC_POP,T,ACT,SI,2020 ,31.5 
Y15-24,PC_POP,T,ACT,SK,2020 ,28.1 
Y15-24,PC_POP,T,ACT,TR,2020 ,39.0 
Y15-24,PC_POP,T,ACT,UK,2020 ,: 
Y15-24,PC_POP,T,EMP_LFS,AT,2020 ,50.2 
Y15-24,PC_POP,T,EMP_LFS,BE,2020 ,24.1 
Y15-24,PC_POP,T,EMP_LFS,BG,2020 ,18.8 
Y15-24,PC_POP,T,EMP_LFS,CH,2020 ,59.4 
Y15-24,PC_POP,T,EMP_LFS,CY,2020 ,31.3 
Y15-24,PC_POP,T,EMP_LFS,CZ,2020 ,25.1 
Y15-24,PC_POP,T,EMP_LFS,DE,2020 ,48.2 bp
Y15-24,PC_POP,T,EMP_LFS,DK,2020 ,53.2 
Y15-24,PC_POP,T,EMP_LFS,EA19,2020 ,32.1 
Y15-24,PC_POP,T,EMP_LFS,EE,2020 ,34.2 
Y15-24,PC_POP,T,EMP_LFS,EL,2020 ,13.8 
Y15-24,PC_POP,T,EMP_LFS,ES,2020 ,18.5 
Y15-24,PC_POP,T,EMP_LFS,EU15,2020 ,: 
Y15-24,PC_POP,T,EMP_LFS,EU27_2020,2020 ,31.5 
Y15-24,PC_POP,T,EMP_LFS,EU28,2020 ,: 
Y15-24,PC_POP,T,EMP_LFS,FI,2020 ,41.1 
Y15-24,PC_POP,T,EMP_LFS,FR,2020 ,28.5 
Y15-24,PC_POP,T,EMP_LFS,FX,2020 ,28.9 
Y15-24,PC_POP,T,EMP_LFS,HR,2020 ,25.6 
Y15-24,PC_POP,T,EMP_LFS,HU,2020 ,27.2 
Y15-24,PC_POP,T,EMP_LFS,IE,2020 ,37.0 
Y15-24,PC_POP,T,EMP_LFS,IS,2020 ,65.5 b
Y15-24,PC_POP,T,EMP_LFS,IT,2020 ,16.8 
Y15-24,PC_POP,T,EMP_LFS,LT,2020 ,29.4 
Y15-24,PC_POP,T,EMP_LFS,LU,2020 ,24.9 
Y15-24,PC_POP,T,EMP_LFS,LV,2020 ,29.6 
Y15-24,PC_POP,T,EMP_LFS,ME,2020 ,19.8 
Y15-24,PC_POP,T,EMP_LFS,MK,2020 ,19.8 
Y15-24,PC_POP,T,EMP_LFS,MT,2020 ,48.0 
Y15-24,PC_POP,T,EMP_LFS,NL,2020 ,62.5 
Y15-24,PC_POP,T,EMP_LFS,NO,2020 ,49.3 
Y15-24,PC_POP,T,EMP_LFS,PL,2020 ,28.4 
Y15-24,PC_POP,T,EMP_LFS,PT,2020 ,23.4 
Y15-24,PC_POP,T,EMP_LFS,RO,2020 ,24.6 
Y15-24,PC_POP,T,EMP_LFS,RS,2020 ,20.8 
Y15-24,PC_POP,T,EMP_LFS,SE,2020 ,39.6 
Y15-24,PC_POP,T,EMP_LFS,SI,2020 ,27.0 
Y15-24,PC_POP,T,EMP_LFS,SK,2020 ,22.7 
Y15-24,PC_POP,T,EMP_LFS,TR,2020 ,29.2 
Y15-24,PC_POP,T,EMP_LFS,UK,2020 ,: 
